name,voteCount,rating,address,cusine,cost,timing,lat,long
Homes Kitchen,12 votes,3.2,"177/6B, Picnic Garden Road, Picnic Garden, Kolkata","North Indian, Bengali",₹200,8am – 8pm (Mon-Sun),22.5933974,88.4092246
MK Da Dhaaba,Cuisines:,-,"45/3, DH Road, Mominpore, Near Kolkata Hospital, Kidderpore, Kolkata","North Indian, Chinese, Mughlai, Bengali",₹250,8am – 11pm (Mon-Sun),22.47834745,87.89273485
Pind Balluchi,11 votes,2.6,"375, South City Mall, Food Court, Prince Anwar Shah Road, Kolkata","North Indian, Chinese, Mughlai, Bengali",₹600,10am – 10pm (Mon-Sun),22.5016573,88.36146395
SKFC,Cuisines:,,"R-110, S.A.Farooque Road, Opposite Lal Masjid And Khan Building, Kidderpore, Kolkata","Biryani, North Indian, Chinese",₹300,,22.52372575,88.3046366
New Zam Zam Biryani,10 votes,3,"33, Phears Lane, Bara Bazar, Kolkata","Biryani, North Indian, Chinese",₹300,12noon – 11pm (Mon-Sun),22.5757629,88.3572673
Cherry,84 votes,3.5,"P 3, 654, Raja Ram Mohan Roy Road, Near SBI ATM, Muchipara, Behala, Kolkata",Biryani,₹350,9am – 11pm (Mon-Sun),22.49150495,88.3240086
Number 18,64 votes,3.4,"1/2, Podder Nagar Colony, Prince Anwar Shah Road, Kolkata",Biryani,₹500,"11am – 12midnight (Mon-Fri),12midnight – 2am...",22.3909989,87.32251695
Hapus Hupus,12 votes,3.2,"48, Nimtola Ghat Street, Shobha Bazar, Kolkata",Fast Food,₹200,11am – 11pm (Mon-Sun),22.5923528,88.3562377
Classic Fast Food Centre,25 votes,3.3,"128, Ward 73, Hazra Road, Hazra, Kolkata",Fast Food,₹150,9am – 10:30pm (Mon-Sun),22.5241523,88.3486001
Green Chilly,73 votes,3.2,"84/A, Mukhtaram Babu Street, Girish Park, Kolkata",Street Food,₹250,12noon – 9pm (Mon-Sun),22.4625437,87.8819564
Tin Tin Economic Chinese Restaurant,Cuisines:,-,"177, Shyama Prasad Mukherjee Road, Mudiali, Kalighat, Kolkata",Street Food,₹300,12noon – 11pm (Mon-Sun),22.5090911,88.3457898
